name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Newcastle Upon Tyne,2021-11-20,11.8,3.2,9.1,11.8,0.8,7.4,6.3,83.1,0,0,0,,0,0,48,31.4,261.7,1018.5,58.2,16.7,42.2,3.6,3,,2021-11-20T07:48:21,2021-11-20T15:55:20,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-11-21,4.9,2,3.5,1.5,-1.9,0.1,1.6,87.9,2.771,100,25,rain,0,0,46.3,27.6,312.2,1022.3,51.1,17.3,28.4,2.5,2,,2021-11-21T07:50:14,2021-11-21T15:53:58,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-11-22,6,0.9,3.8,3.6,-1.7,1.2,2.2,89.8,0.486,100,8.33,"rain,snow",0,0,20.5,19.5,272.2,1031.6,43,15.5,37.8,3.2,2,,2021-11-22T07:52:06,2021-11-22T15:52:39,0.6,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning snow or rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-11-23,7.9,3,6.1,5.9,0,3.7,4.4,89,0.157,100,4.17,rain,0,0,18.4,19.8,271,1030.2,61.8,16.7,32,2.8,2,,2021-11-23T07:53:56,2021-11-23T15:51:23,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-11-24,9,0,5.9,6.8,-3,3.6,3.1,82.7,0,0,0,,0,0,35,17.6,259,1018.4,60.8,22.1,26.9,2.4,2,,2021-11-24T07:55:45,2021-11-24T15:50:10,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-11-25,4.9,0.1,2.5,1.4,-3.8,-1.2,-0.6,80.4,0,0,0,,0,0,47.7,29.5,273.8,1014.8,36.4,14.8,30.5,2.6,2,,2021-11-25T07:57:33,2021-11-25T15:49:00,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-11-26,7.8,1,4.7,3.6,-6,-0.4,2,83.4,6.94,100,50,"rain,snow",0.1,0.1,95.1,62.3,301.7,987.2,63.4,11.4,35,3,2,,2021-11-26T07:59:19,2021-11-26T15:47:53,0.74,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain or snow throughout the day.,snow,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-11-27,3.9,-0.1,2.4,-2,-5.9,-3.8,-0.5,81,29.629,100,45.83,"rain,snow",0.4,0.7,93.7,61.8,351.9,1001.3,73.2,11,19.9,1.7,1,,2021-11-27T08:01:03,2021-11-27T15:46:49,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999,D1436"
Newcastle Upon Tyne,2021-11-28,1.9,-2,0,-0.9,-7.4,-4.1,-2.4,84.5,0.519,100,8.33,"rain,snow",0,0.7,37.6,26.4,293.5,1007.4,41.3,17.9,19.8,1.8,1,,2021-11-28T08:02:45,2021-11-28T15:45:49,0.81,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-11-29,8.9,-2.2,2.3,5.4,-5.9,-1,0.5,88,0.699,100,16.67,"rain,snow",0,0,50.4,34.1,267.1,1009.4,48,14.1,21.7,1.9,1,,2021-11-29T08:04:25,2021-11-29T15:44:52,0.84,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-11-30,10.9,8.6,9.6,10.9,5.4,7.7,8.2,91.1,3.553,100,33.33,rain,0,0,43.7,30.2,262.9,1000.9,76.3,16.2,17.5,1.5,1,,2021-11-30T08:06:04,2021-11-30T15:43:58,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-12-01,8,1,4.5,6.6,-4.2,0.3,2,84,9.616,100,41.67,rain,0,0,36.1,36.4,317.2,996.2,63.6,19.8,15.9,1.4,1,,2021-12-01T08:07:40,2021-12-01T15:43:08,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-12-02,2.9,0,1.2,-0.3,-5.5,-2.9,-2.7,75.4,0.151,100,12.5,"rain,snow",0,0,35.7,34,289.9,1009.3,45,14.8,27.9,2.3,2,,2021-12-02T08:09:14,2021-12-02T15:42:21,0.94,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-12-03,6.9,1.9,5.1,5,-1,2.5,3.1,87.1,0.294,100,16.67,rain,0,0,32.3,24.6,250.7,997.9,51,16.3,8.5,0.5,0,,2021-12-03T08:10:45,2021-12-03T15:41:38,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999,AS567"
Newcastle Upon Tyne,2021-12-04,6.8,1,3.9,5.4,-3.6,0.6,2.4,90.1,14.568,100,70.83,"rain,snow",0.3,0.1,35,26.1,277,990.3,67.9,13.4,16.2,1.5,1,,2021-12-04T08:12:14,2021-12-04T15:40:59,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-12-05,5,2,4.2,3.5,-3.9,0.3,3.2,93.3,17.321,100,62.5,"rain,snow",0,0,49.4,42.9,343,1009.1,91.9,9.8,12.1,1,1,,2021-12-05T08:13:40,2021-12-05T15:40:23,0.04,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999,AS567"
Newcastle Upon Tyne,2021-12-06,4.9,1.9,3,1.9,-2.4,0.1,1.7,91.3,1.415,100,29.17,"rain,snow",0,0,29.2,26.6,218.7,1003.4,40.4,13.5,11.2,1,1,,2021-12-06T08:15:04,2021-12-06T15:39:51,0.07,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-12-07,5,0.9,3.1,2.7,-3,-0.5,1.3,88.4,1.015,100,4.17,rain,0,0,52.9,28.7,152.7,989.6,51.7,12.5,4.7,0.4,0,,2021-12-07T08:16:25,2021-12-07T15:39:23,0.11,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"03275099999,03243399999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-12-08,5,3.9,4.5,4.9,0.1,1.7,2.6,87.3,0.273,100,8.33,rain,0,0,40.1,19.4,221.6,977.5,80.9,13.1,13,1.1,1,,2021-12-08T08:17:43,2021-12-08T15:38:59,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-12-09,6.9,1.1,3.9,5.4,-2.6,1.1,2.4,90.7,6.223,100,16.67,rain,0,0,29.7,17.8,236,992.1,49.7,11.5,20.6,1.8,1,,2021-12-09T08:18:58,2021-12-09T15:38:38,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999,D1436"
Newcastle Upon Tyne,2021-12-10,5,0.9,2.8,1.3,-4,-1.3,1.1,88.8,0.874,100,4.17,rain,0,0,34.6,28.2,271.4,996.1,7,13.5,24.5,2.1,2,,2021-12-10T08:20:10,2021-12-10T15:38:22,0.21,Rain,Clear conditions throughout the day with early morning rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-12-11,9.8,1,5.2,8.3,-3,3.2,4,92.2,2.593,100,41.67,rain,0,0,19.7,14.2,218.2,1008.1,64.4,12.1,10.8,0.9,1,,2021-12-11T08:21:19,2021-12-11T15:38:09,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,AT455,03238099999,D1436"
Newcastle Upon Tyne,2021-12-12,11.9,5.1,8.9,11.9,3.5,8.3,7.2,89.3,0.111,100,16.67,rain,0,0,40.7,24.9,207.3,1011.5,60.5,14.9,25,2.2,2,,2021-12-12T08:22:24,2021-12-12T15:38:01,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-12-13,11.7,2.1,7.2,11.7,0.9,6,4,80.4,0.258,100,20.83,rain,0,0,41.4,38.6,228.2,1017.2,52.2,13.7,9.2,0.9,0,,2021-12-13T08:23:26,2021-12-13T15:37:56,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-12-14,8.9,2,6.6,7,0.5,4.2,3.3,80.5,0.061,100,8.33,rain,0,0,37,20.5,223.3,1019.5,40.4,16.1,20.3,1.7,1,,2021-12-14T08:24:25,2021-12-14T15:37:56,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-12-15,10.9,8.8,9.5,10.9,6,7.6,6.8,83.7,0.03,100,8.33,rain,0,0,32.9,21.2,245.7,1023.6,60.7,18.4,17.1,1.5,2,,2021-12-15T08:25:20,2021-12-15T15:37:59,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-12-16,10,3.9,7.3,8.6,1.8,5.8,5.8,90.7,0.015,100,4.17,rain,0,0,21.5,19.4,257.8,1035.1,21.7,14.9,22.4,1.9,2,,2021-12-16T08:26:12,2021-12-16T15:38:07,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
